taxa	name	Marker lineage	# genomes	# markers	# marker sets	Completeness	Contamination	Strain heterogeneity	Genome size (bp)	# ambiguous bases	# scaffolds	# contigs	N50 (scaffolds)	N50 (contigs)	Mean scaffold length (bp)	Mean contig length (bp)	Longest scaffold (bp)	Longest contig (bp)	GC	GC std (scaffolds > 1kbp)	Coding density	Translation table	# predicted genes	0	1	2	3	4	5+	# unique markers (of 43)	# multi-copy	Insertion branch UID	Taxonomy (contained)	Taxonomy (sister lineage)	GC	Genome size (Mbp)	Gene count	Coding density	Translation table	# descendant genomes	Lineage: GC mean	Lineage: GC std	Lineage: genome size (Mbp) mean	Lineage: genome size (Mbp) std	Lineage: gene count mean	Lineage: gene count std
MM_PW_MetaG.021.2k	MM_PW_MetaG.021.2k	c__Gammaproteobacteria (UID4445)	228	583	244	99.06	0.91	20.0	4784128	0	154	154	64111	64111	31065	31065	204520	204520		4.41			4526	25	553	5	0	0	0	24	1	UID4507	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_2;s__Pseudomonas_stutzeri	g__Pseudomonas		4.784128	4526			2.0	61.4245691469	0.8643988932019999	4.588388500000001	0.35517550000000003	4340.0	290.0
MM_PW_MetaG.022.2k	MM_PW_MetaG.022.2k	k__Bacteria (UID203)	5449	104	58	86.21	15.36	1.89	2338225	0	191	191	28504	28504	12242	12242	83580	83580		14.81			2454	9	74	14	1	6	0	28	15	UID3162	k__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Arcobacter	s__Arcobacter_butzleri		2.338225	2454			8.0	27.0724398821	0.526813900877	2.5558495	0.37392954974799997	2581.5	365.61967944800006
MM_PW_MetaG.023.2k	MM_PW_MetaG.023.2k	c__Gammaproteobacteria (UID4761)	52	693	297	2.11	1.13	0.0	3707035	0	978	978	3787	3787	3790	3790	56558	56558		8.4			6050	653	36	2	1	0	1	19	0	UID4806	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	o__Chromatiales;f__Chromatiaceae;g__Rheinheimera;s__		3.707035	6050			6.0	48.9928982875	2.15722032023	4.0470496666699995	0.31166346239	3801.66666667	249.725627217
MM_PW_MetaG.024.2k	MM_PW_MetaG.024.2k	k__Bacteria (UID203)	5449	100	55	98.18	38.49	0.0	7200282	0	482	482	43507	43507	14938	14938	189118	189118		6.77			6312	1	71	25	2	0	1	30	12	UID2502	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales	f__Brachyspiraceae;g__Brachyspira		7.2002820000000005	6312			66.0	38.831279650999996	10.6533604201	2.5103984393900003	0.9650634856489999	2344.34848485	864.5581721919999
MM_PW_MetaG.025.2k	MM_PW_MetaG.025.2k	k__Bacteria (UID203)	5449	104	58	75.07	18.28	0.0	4848094	0	1106	1106	4934	4934	4383	4383	54511	54511		4.57			7376	31	53	17	1	1	1	18	13	UID2840	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium	unresolved		4.848094000000001	7376			4.0	34.406004815500005	0.22752179932500002	3.994064	0.23766446618599998	3644.75	188.77549496700001
MM_PW_MetaG.026.2k	MM_PW_MetaG.026.2k	k__Bacteria (UID2495)	2993	141	87	61.73	25.29	12.9	12432998	0	2319	2319	6777	6777	5361	5361	117563	117563		5.49			15901	57	64	16	3	1	0	23	2	UID2535	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae	g__Treponema		12.432998	15901			33.0	44.821027172799994	5.718703939319999	2.85230736364	0.829703588646	2657.39393939	756.636093605
MM_PW_MetaG.027.2k	MM_PW_MetaG.027.2k	k__Bacteria (UID203)	5449	103	57	94.58	56.73	0.0	26009844	0	5764	5764	4808	4808	4512	4512	221662	221662		7.14			40740	4	53	42	3	1	0	27	14	UID2322	k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes	o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalococcoides;s__Dehalococcoides_mccartyi		26.009844	40740			8.0	51.6801742069	5.60843422503	2.56676975	1.94644166535	2389.75	1444.1793301
MM_PW_MetaG.028.2k	MM_PW_MetaG.028.2k	k__Bacteria (UID3187)	2258	182	112	55.98	14.4	0.0	3781972	0	1136	1136	3248	3248	3329	3329	38374	38374		2.56			5500	85	68	23	6	0	0	10	10	UID3299	k__Bacteria;p__Proteobacteria	c__Deltaproteobacteria;o__Bdellovibrionales;f__Bacteriovoracaceae;g__Bacteriovorax;s__		3.781972	5500			4.0	42.97350269020001	5.198042367709999	3.22465525	0.427616908692	3116.25	388.362185981
MM_PW_MetaG.029.2k	MM_PW_MetaG.029.2k	k__Archaea (UID2)	207	149	107	76.17	5.92	11.11	1540141	0	233	233	10232	10232	6610	6610	41982	41982		8.33			1973	28	112	9	0	0	0	37	5	UID1	k__Archaea (root)	k__Archaea		1.540141	1973			5656.0	49.275266001400006	13.0081081425	3.76173456931	1.8165513491299998	3559.91760962	1650.82761538
MM_PW_MetaG.030.2k	MM_PW_MetaG.030.2k	k__Bacteria (UID203)	5449	100	55	12.73	0.0	0.0	1171467	0	166	166	15346	15346	7057	7057	96631	96631		12.95			1240	92	8	0	0	0	0	2	0	UID2535	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae	g__Treponema		1.171467	1240			33.0	44.821027172799994	5.718703939319999	2.85230736364	0.829703588646	2657.39393939	756.636093605
MM_PW_MetaG.031.2k	MM_PW_MetaG.031.2k	c__Bacilli (UID259)	750	275	151	70.5	3.09	62.5	3669950	0	464	464	11561	11561	7909	7909	184529	184529		9.8			4309	83	186	5	1	0	0	25	0	UID954	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae	unresolved		3.66995	4309			6.0	37.948191374299995	0.76572519845	4.17496066667	0.547999292945	4191.5	552.715945732
MM_PW_MetaG.032.2k	MM_PW_MetaG.032.2k	k__Archaea (UID2)	207	149	107	48.56	14.1	0.0	15341816	0	3583	3583	4479	4479	4281	4281	87439	87439		3.43			25913	78	53	11	2	1	4	13	8	UID1	k__Archaea (root)	k__Archaea		15.341816	25913			5656.0	49.275266001400006	13.0081081425	3.76173456931	1.8165513491299998	3559.91760962	1650.82761538
MM_PW_MetaG.033.2k	MM_PW_MetaG.033.2k	k__Archaea (UID2)	207	149	107	9.81	0.0	0.0	1513871	0	163	163	20571	20571	9287	9287	292971	292971		3.67			1684	128	21	0	0	0	0	15	0	UID1	k__Archaea (root)	k__Archaea		1.513871	1684			5656.0	49.275266001400006	13.0081081425	3.76173456931	1.8165513491299998	3559.91760962	1650.82761538
MM_PW_MetaG.034.2k	MM_PW_MetaG.034.2k	f__Flavobacteriaceae (UID2817)	81	511	283	84.62	5.54	27.78	3846830	0	257	257	96895	96895	14968	14968	212162	212162		3.14			3710	116	359	36	0	0	0	11	1	UID2841	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium	unresolved		3.84683	3710			3.0	34.3329575886	0.21835285540399998	3.910706	0.21798694149099998	3622.66666667	213.457776205
MM_PW_MetaG.035.2k	MM_PW_MetaG.035.2k	k__Bacteria (UID2495)	2993	141	87	77.39	31.98	1.27	29083430	0	6653	6653	4558	4558	4371	4371	177789	177789		5.28			42569	47	72	14	2	0	6	10	5	UID2540	k__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae;g__Treponema	unresolved		29.08343	42569			28.0	44.119640061000005	5.91094745533	2.70574825	0.7256845986149999	2524.21428571	642.584811364
MM_PW_MetaG.036.2k	MM_PW_MetaG.036.2k	k__Archaea (UID2)	207	149	107	59.04	30.79	0.0	30551731	0	7789	7789	3888	3888	3922	3922	138719	138719		5.68			48571	55	61	21	9	2	1	18	19	UID1	k__Archaea (root)	k__Archaea		30.551731	48571			5656.0	49.275266001400006	13.0081081425	3.76173456931	1.8165513491299998	3559.91760962	1650.82761538
MM_PW_MetaG.037.2k	MM_PW_MetaG.037.2k	root (UID1)	5656	56	24	0.0	0.0	0.0	111148	0	15	15	9604	9604	7409	7409	28577	28577		3.74			179	56	0	0	0	0	0	0	0			unresolved		0.111148	179									
MMS_A.001.2k	MMS_A.001.2k	c__Betaproteobacteria (UID3888)	323	387	234	98.6	0.21	0.0	3331665	0	28	28	336327	336327	118988	118988	567614	567614		4.83			3200	20	366	1	0	0	0	29	0	UID4105	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales	unresolved		3.331665	3200			54.0	65.4270497459	3.6512949878300005	5.16920692593	1.31133744154	4847.55555556	1196.01218046
MMS_A.002.2k	MMS_A.002.2k	f__Rhodocyclaceae (UID3972)	30	540	241	11.31	0.55	0.0	278193	0	16	16	61701	61701	17387	17387	87905	87905		3.72			280	467	70	3	0	0	0	17	0	UID3987	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__Methyloversatilis	s__		0.27819299999999997	280			6.0	66.6840881408	0.20384362334399997	4.23428333333	0.072920804038	3945.5	93.2197225198
MMS_A.003.2k	MMS_A.003.2k	c__Gammaproteobacteria (UID4202)	67	481	276	2.68	0.02	0.0	151651	0	12	12	90401	90401	12637	12637	90401	90401		4.01			128	454	26	1	0	0	0	14	0	UID4211	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Sinobacteraceae	unresolved		0.151651	128			4.0	67.89471293380001	1.5812124775299998	4.49002075	0.425974372285	4101.0	386.77318935
MMS_A.004.2k	MMS_A.004.2k	f__Rhodocyclaceae (UID3972)	30	540	241	76.37	6.6	9.09	3009975	0	73	73	79114	79114	41232	41232	317706	317706		3.72			2826	120	389	30	1	0	0	28	4	UID3985	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae	g__Methyloversatilis;s__Methyloversatilis_universalis		3.009975	2826			17.0	65.8987056511	2.46835292806	4.466137294119999	0.43676325974200003	4156.29411765	431.10593275800005
MMS_A.005.2k	MMS_A.005.2k	k__Bacteria (UID203)	5449	104	58	91.38	5.33	0.0	4708027	0	91	91	118850	118850	51736	51736	434563	434563		4.96			4589	19	72	12	1	0	0	18	11	UID3639	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae	g__Agrobacterium;s__Agrobacterium_albertimagni		4.7080269999999995	4589			2.0	61.8227638358	0.5940112695549999	5.364532	0.279212	5088.5	177.5
MMS_A.006.2k	MMS_A.006.2k	o__Sphingomonadales (UID3310)	26	569	293	80.88	51.36	4.25	5823133	0	980	980	7702	7702	5941	5941	116877	116877		3.13			6264	123	226	183	33	4	0	14	2	UID3317	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales	f__Sphingomonadaceae;g__Sphingopyxis;s__Sphingopyxis_alaskensis		5.823133	6264			13.0	64.07832294859999	1.61581209669	3.5868402307699996	0.6707085566800001	3434.0	514.042949418
MMS_A.007.2k	MMS_A.007.2k	k__Bacteria (UID203)	5449	104	58	86.14	48.12	80.0	7741985	0	1086	1086	10559	10559	7128	7128	97462	97462		3.1			7916	28	40	29	7	0	0	15	11	UID4507	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_2;s__Pseudomonas_stutzeri	g__Pseudomonas		7.741985000000001	7916			2.0	61.4245691469	0.8643988932019999	4.588388500000001	0.35517550000000003	4340.0	290.0
MMS_A.008.2k	MMS_A.008.2k	k__Bacteria (UID203)	5449	104	58	6.9	0.0	0.0	124622	0	20	20	12364	12364	6231	6231	56875	56875		7.35			162	99	5	0	0	0	0	1	0	UID1	k__Bacteria (root)	k__Bacteria		0.124622	162			5656.0	49.275266001400006	13.0081081425	3.76173456931	1.8165513491299998	3559.91760962	1650.82761538
MMS_A.009.2k	MMS_A.009.2k	k__Bacteria (UID203)	5449	103	57	38.87	8.77	6.06	780119	0	91	91	11048	11048	8572	8572	161137	161137		3.99			772	50	34	12	7	0	0	14	17	UID4509	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	unresolved		0.780119	772			138.0	60.5767876212	2.2754156564700003	5.9964634420300005	0.654479891272	5509.58695652	594.183189537
MMS_A.010.2k	MMS_A.010.2k	k__Bacteria (UID203)	5449	104	58	46.79	18.03	6.56	655235	0	84	84	13674	13674	7800	7800	40053	40053		2.36			658	52	28	7	16	1	0	5	18	UID4156	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Acidovorax	s__		0.655235	658			2.0	64.4414944891	0.800416691442	4.7929635	0.8049795	4420.0	695.0
MMS_A.011.2k	MMS_A.011.2k	root (UID1)	5656	56	24	0.0	0.0	0.0	128954	0	37	37	3411	3411	3485	3485	11611	11611		3.72			222	56	0	0	0	0	0	0	0			unresolved		0.12895399999999999	222									
MMS_A.012.2k	MMS_A.012.2k	k__Bacteria (UID203)	5449	104	58	100.0	48.35	5.75	5513065	0	178	178	422138	422138	30972	30972	838329	838329		5.27			5244	0	67	24	5	8	0	22	21	UID4131	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae	g__Rhodoferax;s__Rhodoferax_ferrireducens		5.513065	5244			5.0	61.5817556896	1.8617564789400003	5.1360002	0.491724491258	4882.8	444.346441417
MMS_A.013.2k	MMS_A.013.2k	k__Bacteria (UID203)	5449	102	57	24.56	5.1	0.0	704152	0	40	40	35202	35202	17603	17603	86778	86778		3.76			696	50	30	22	0	0	0	16	17	UID4596	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	s__		0.704152	696			4.0	58.938777702299994	0.056131265896199996	6.6812535	0.0338780512316	6143.25	10.1334840998
MMS_A.014.2k	MMS_A.014.2k	k__Bacteria (UID203)	5449	104	58	90.97	100.03	3.7	6194920	0	403	403	61908	61908	15372	15372	325575	325575		3.82			6105	15	43	26	14	5	1	24	11	UID3329	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae_3;g__Sphingobium	f__Sphingomonadaceae;s__		6.19492	6105			4.0	64.3448905998	0.904918955635	4.323554	0.231431337501	4197.5	173.649791247
MMS_A.015.2k	MMS_A.015.2k	o__Rhizobiales (UID3450)	238	513	244	98.78	7.44	7.5	5187996	0	93	93	266717	266717	55784	55784	643647	643647		2.41			4975	18	462	31	1	1	0	31	1	UID3457	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae	g__Mesorhizobium		5.187996	4975			24.0	62.6072126738	0.8484628623370001	6.505638083330001	0.897447015466	6357.66666667	868.6187151
MMS_A.016.2k	MMS_A.016.2k	c__Alphaproteobacteria (UID3305)	564	349	230	57.43	22.47	2.22	1905052	0	169	169	20792	20792	11272	11272	262763	262763		4.83			1917	130	156	53	9	0	1	28	9	UID3795	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae	g__Oceanibaculum;s__Oceanibaculum_indicum		1.905052	1917			2.0	66.0910605961	0.594722817657	5.2998345	1.3470425	5123.5	1323.5
MMS_A.017.2k	MMS_A.017.2k	o__Burkholderiales (UID4105)	54	553	264	77.15	6.19	25.0	3852516	0	378	378	15566	15566	10191	10191	69051	69051		2.89			3770	139	384	29	1	0	0	26	7	UID4156	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Acidovorax	s__		3.8525160000000005	3770			2.0	64.4414944891	0.800416691442	4.7929635	0.8049795	4420.0	695.0
MMS_A.018.2k	MMS_A.018.2k	c__Gammaproteobacteria (UID4444)	263	507	232	66.4	16.02	4.17	4489220	0	841	841	6363	6363	5337	5337	52644	52644		9.02			4846	177	248	75	7	0	0	21	6	UID4488	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales	f__Pseudomonadaceae		4.4892199999999995	4846			185.0	61.566802405299995	3.2674993009599995	5.8619976756800005	0.783738274377	5411.85945946	702.338396709
MMS_A.019.2k	MMS_A.019.2k	k__Bacteria (UID203)	5449	103	57	36.14	5.26	0.0	1440431	0	126	126	20866	20866	11431	11431	69412	69412		5.09			1435	77	23	3	0	0	0	3	0	UID4513	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	s__		1.440431	1435			6.0	62.2815364412	2.5802185495299996	4.96972916667	0.150097692723	4600.83333333	135.858279918
MMS_A.020.2k	MMS_A.020.2k	k__Bacteria (UID203)	5449	103	57	30.7	1.75	100.0	3595918	0	226	226	29591	29591	15911	15911	345714	345714		5.27			3894	82	20	1	0	0	0	2	0	UID4551	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	unresolved		3.595918	3894			77.0	59.191285143	2.00276019538	6.39279553247	0.421086665306	5842.49350649	413.969401698
MMS_A.021.2k	MMS_A.021.2k	c__Alphaproteobacteria (UID3305)	564	349	230	63.91	26.72	0.0	4095086	0	422	422	47358	47358	9703	9703	234631	234631		5.04			4113	144	127	71	6	1	0	10	4	UID3753	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	c__Deltaproteobacteria;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Micavibrio;s__Micavibrio_aeruginosavorus		4.095086	4113			64.0	60.2867389231	8.47140295649	4.14338214062	1.19325237827	3932.765625	1131.26850458
MMS_A.022.2k	MMS_A.022.2k	g__Pseudomonas (UID4576)	50	1090	364	97.73	1.43	0.0	7220216	0	159	159	102378	102378	45410	45410	246747	246747		4.52			6730	66	1009	15	0	0	0	10	0	UID4594	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	unresolved		7.220216000000001	6730			6.0	58.877397301	0.202367944501	6.652924166669999	0.0512689342696	6148.5	11.4854981027
MMS_A.023.2k	MMS_A.023.2k	c__Alphaproteobacteria (UID3305)	564	349	230	70.12	21.83	1.41	4363797	0	1049	1049	4549	4549	4159	4159	25788	25788		3.05			4938	124	164	56	5	0	0	10	0	UID3753	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	c__Deltaproteobacteria;o__Bdellovibrionales;f__Bdellovibrionaceae;g__Micavibrio;s__Micavibrio_aeruginosavorus		4.363797	4938			64.0	60.2867389231	8.47140295649	4.14338214062	1.19325237827	3932.765625	1131.26850458
MMS_A.024.2k	MMS_A.024.2k	f__Rhodobacteraceae (UID3356)	67	617	330	70.11	33.68	1.53	9855369	0	2448	2448	3973	3973	4025	4025	100798	100798		4.49			11470	177	278	120	37	5	0	15	4	UID3415	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae	g__Loktanella;s__Loktanella_vestfoldensis		9.855369	11470			8.0	63.409780845200004	5.28889995435	3.69306775	0.5008071591659999	3686.25	506.296047289
MMS_A.025.2k	MMS_A.025.2k	root (UID1)	5656	56	24	4.17	0.0	0.0	1307400	0	417	417	3047	3047	3135	3135	42944	42944		7.26			1584	55	1	0	0	0	0	0	0			unresolved		1.3074	1584									
MMS_A.026.2k	MMS_A.026.2k	k__Bacteria (UID1452)	924	151	101	58.38	18.34	2.44	12833388	0	3261	3261	3916	3916	3935	3935	178625	178625		7.92			20719	49	84	16	0	0	2	36	3	UID2322	k__Bacteria;p__Chloroflexi;c__Dehalococcoidetes	o__Dehalococcoidales;f__Dehalococcoidaceae;g__Dehalococcoides;s__Dehalococcoides_mccartyi		12.833388000000001	20719			8.0	51.6801742069	5.60843422503	2.56676975	1.94644166535	2389.75	1444.1793301
MMS_B.001.2k	MMS_B.001.2k	c__Betaproteobacteria (UID3888)	323	387	234	98.6	0.64	0.0	3360815	0	34	34	336327	336327	98847	98847	567614	567614		4.27			3201	20	365	2	0	0	0	29	0	UID4105	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales	unresolved		3.360815	3201			54.0	65.4270497459	3.6512949878300005	5.16920692593	1.31133744154	4847.55555556	1196.01218046
MMS_B.002.2k	MMS_B.002.2k	g__Pseudomonas (UID4576)	50	1090	364	98.3	3.11	28.57	7321043	0	124	124	176478	176478	59040	59040	512542	512542		4.88			6867	57	998	35	0	0	0	10	0	UID4594	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	unresolved		7.3210429999999995	6867			6.0	58.877397301	0.202367944501	6.652924166669999	0.0512689342696	6148.5	11.4854981027
MMS_B.003.2k	MMS_B.003.2k	k__Bacteria (UID203)	5449	102	57	54.39	31.74	31.58	909651	0	117	117	9359	9359	7774	7774	109082	109082		3.76			930	32	40	26	4	0	0	21	18	UID4594	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	s__		0.909651	930			6.0	58.877397301	0.202367944501	6.652924166669999	0.0512689342696	6148.5	11.4854981027
MMS_B.004.2k	MMS_B.004.2k	k__Bacteria (UID203)	5449	104	58	27.59	0.86	100.0	3150794	0	194	194	32241	32241	16241	16241	345684	345684		4.11			3346	83	20	1	0	0	0	4	1	UID4105	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales	f__Burkholderiaceae;g__Limnobacter;s__		3.150794	3346			54.0	65.4270497459	3.6512949878300005	5.16920692593	1.31133744154	4847.55555556	1196.01218046
MMS_B.005.2k	MMS_B.005.2k	k__Bacteria (UID2495)	2993	143	89	33.45	2.04	0.0	1022996	0	178	178	7132	7132	5747	5747	253052	253052		6.12			1468	71	62	10	0	0	0	29	7	UID2496	k__Bacteria;p__Spirochaetes;c__Spirochaetia	p__Elusimicrobia;c__Candidatus_Endomicrobium;o__Candidatus_Endomicrobium;f__Candidatus_Endomicrobium;g__Candidatus_Endomicrobium;s__		1.022996	1468			72.0	38.969742160500005	10.3693638763	2.60865927778	1.0341579159999998	2440.63888889	952.6666419630001
MMS_B.006.2k	MMS_B.006.2k	k__Bacteria (UID203)	5449	104	58	93.1	54.55	1.47	5932691	0	155	155	422601	422601	38275	38275	1177069	1177069		4.45			5729	18	34	44	8	0	0	12	17	UID3457	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Phyllobacteriaceae	g__Mesorhizobium		5.932691	5729			24.0	62.6072126738	0.8484628623370001	6.505638083330001	0.897447015466	6357.66666667	868.6187151
MMS_B.007.2k	MMS_B.007.2k	c__Alphaproteobacteria (UID3305)	564	349	230	46.68	12.41	0.0	1843551	0	191	191	13444	13444	9652	9652	89264	89264		4.42			1856	176	137	33	3	0	0	22	3	UID3795	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae	g__Oceanibaculum;s__Oceanibaculum_indicum		1.843551	1856			2.0	66.0910605961	0.594722817657	5.2998345	1.3470425	5123.5	1323.5
MMS_B.008.2k	MMS_B.008.2k	f__Rhodocyclaceae (UID3972)	30	540	241	33.63	1.26	6.25	1027424	0	33	33	74046	74046	31134	31134	152847	152847		3.96			984	342	184	13	1	0	0	14	7	UID3986	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae;g__Methyloversatilis	s__Methyloversatilis_universalis		1.027424	984			7.0	66.52934301	0.423429479237	4.22385842857	0.0721795032439	3927.71428571	96.67724549200001
MMS_B.009.2k	MMS_B.009.2k	f__Rhodocyclaceae (UID3972)	30	540	241	67.34	9.04	2.78	2934693	0	109	109	77507	77507	26923	26923	181336	181336		3.92			2756	173	333	33	1	0	0	30	0	UID3985	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Rhodocyclales;f__Rhodocyclaceae	g__Methyloversatilis;s__Methyloversatilis_universalis		2.934693	2756			17.0	65.8987056511	2.46835292806	4.466137294119999	0.43676325974200003	4156.29411765	431.10593275800005
MMS_B.010.2k	MMS_B.010.2k	k__Bacteria (UID203)	5449	104	58	43.79	32.84	15.94	936729	0	118	118	10997	10997	7938	7938	32443	32443		2.77			921	39	36	10	1	7	11	13	22	UID4156	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Acidovorax	s__		0.936729	921			2.0	64.4414944891	0.800416691442	4.7929635	0.8049795	4420.0	695.0
MMS_B.011.2k	MMS_B.011.2k	o__Burkholderiales (UID4105)	54	553	264	63.63	3.23	29.41	4206713	0	472	472	13639	13639	8912	8912	61754	61754		4.0			4160	213	323	17	0	0	0	20	2	UID4154	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Acidovorax	s__		4.206713	4160			3.0	64.052914786	0.861912616902	4.81751833333	0.412607100185	4481.33333333	403.711393063
MMS_B.012.2k	MMS_B.012.2k	k__Bacteria (UID203)	5449	104	58	4.08	2.74	0.0	144070	0	19	19	15211	15211	7582	7582	36248	36248		3.29			134	97	4	2	1	0	0	3	2	UID3795	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae	g__Oceanibaculum;s__Oceanibaculum_indicum		0.14407	134			2.0	66.0910605961	0.594722817657	5.2998345	1.3470425	5123.5	1323.5
MMS_B.013.2k	MMS_B.013.2k	k__Bacteria (UID203)	5449	104	58	100.0	38.4	1.92	5079880	0	127	127	175925	175925	39999	39999	559372	559372		4.58			4829	0	56	46	2	0	0	19	24	UID4131	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Comamonadaceae	g__Rhodoferax;s__Rhodoferax_ferrireducens		5.07988	4829			5.0	61.5817556896	1.8617564789400003	5.1360002	0.491724491258	4882.8	444.346441417
MMS_B.014.2k	MMS_B.014.2k	c__Gammaproteobacteria (UID4445)	228	583	244	94.36	60.33	82.75	7536177	0	1099	1099	9752	9752	6857	6857	83211	83211		2.66			7741	47	209	305	22	0	0	28	6	UID4507	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_2;s__Pseudomonas_stutzeri	g__Pseudomonas		7.536177	7741			2.0	61.4245691469	0.8643988932019999	4.588388500000001	0.35517550000000003	4340.0	290.0
MMS_B.015.2k	MMS_B.015.2k	root (UID1)	5656	56	24	0.0	0.0	0.0	168796	0	33	33	5670	5670	5115	5115	25713	25713		2.68			198	56	0	0	0	0	0	0	0			unresolved		0.168796	198									
MMS_B.016.2k	MMS_B.016.2k	o__Rhizobiales (UID3449)	345	431	258	99.2	1.69	16.67	4017454	0	97	97	63976	63976	41417	41417	246357	246357		1.99			3918	13	412	6	0	0	0	34	1	UID3639	k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae	g__Agrobacterium;s__Agrobacterium_albertimagni		4.017454	3918			2.0	61.8227638358	0.5940112695549999	5.364532	0.279212	5088.5	177.5
